i,j,k
130,146,186
130,147,5
130,148,6
130,149,27
130,152,1
130,153,6
130,157,1
130,160,21
130,161,42
130,162,1
131,135,3
131,136,114
131,137,1
131,138,56
131,139,1
131,141,1
131,142,1
131,146,2
131,147,1
131,148,2
131,149,468
131,152,4
131,154,1
131,160,47
131,161,133
132,136,15
132,139,110
132,144,7
132,145,8
132,146,365
132,149,720
132,153,1590
132,154,603
132,160,3
132,161,7
133,134,245
133,135,4
133,136,3
133,137,151
133,140,48
133,141,2
133,142,23
133,143,96
133,144,125
133,146,3
133,147,1
133,148,1
133,150,2
133,153,1
133,155,1660
133,156,795
133,157,378
133,159,3
133,160,6
133,161,114
133,162,3
133,163,101
134,136,2
134,137,7
134,140,5
134,141,5
134,142,16
134,144,7
134,146,1
134,151,1
134,153,1
134,154,6
134,155,115
134,156,26
134,157,7
134,159,301
134,160,1
134,161,2
134,163,7
135,136,20
135,137,174
135,138,1
135,139,3
135,140,15
135,141,9
135,142,4
135,145,3
135,146,2
135,147,1
135,150,13
135,152,876
135,154,2
135,155,1
135,156,1
135,158,2
135,159,1
135,160,1
135,161,5
136,137,27
136,138,13
136,139,67
136,140,15
136,141,8
136,142,2
136,143,1
136,144,76
136,145,66
136,146,68
136,147,31
136,148,17
136,149,35
136,150,7
136,152,40
136,153,19
136,154,4
136,155,24
136,156,5
136,157,1
136,158,1
136,159,8
136,160,60
136,161,716
136,162,160
136,163,4
137,138,1
137,140,143
137,141,20
137,142,24
137,143,3
137,144,4
137,145,3
137,146,1
137,150,15
137,152,26
137,153,2
137,154,1
137,155,48
137,156,247
137,157,24
137,158,1
137,159,3
137,160,1
137,161,24
137,162,6
138,139,3
138,142,2
138,144,6
138,145,7
138,146,5
138,147,35
138,148,650
138,149,374
138,153,1
138,154,1
138,160,272
138,161,36
138,163,12
139,145,36
139,146,19
139,147,3
139,148,5
139,149,748
139,160,13
139,161,30
139,163,1
140,141,606
140,142,205
140,143,15
140,144,36
140,150,305
140,152,34
140,154,2
140,155,41
140,156,1119
140,157,9
140,158,1
140,159,3
140,160,28
140,161,288
140,162,4
140,163,6
141,142,772
141,143,1
141,144,4
141,150,44
141,152,8
141,154,1
141,155,1
141,156,8
141,157,4
141,158,2
141,159,3
141,160,3
141,161,42
141,163,3
142,143,1
142,144,24
142,145,1
142,146,2
142,150,3
142,154,1
142,155,30
142,156,54
142,157,268
142,159,7
142,160,3
142,161,44
142,163,5
143,144,370
143,155,161
143,156,52
143,157,1
143,159,1
143,160,2
143,161,191
144,145,11
144,146,448
144,147,75
144,148,14
144,153,620
144,154,57
144,155,727
144,156,105
144,157,50
144,159,21
144,160,11
144,161,780
144,162,17
144,163,3
145,146,657
145,147,88
145,148,11
145,149,29
145,152,1
145,153,8
145,154,3
145,155,1
145,160,28
145,161,143
145,162,2
146,147,151
146,148,11
146,149,22
146,152,2
146,153,547
146,154,49
146,156,1
146,159,2
146,160,32
146,161,293
146,162,3
147,148,619
147,149,2
147,150,1
147,153,18
147,154,1
147,155,1
147,157,1
147,159,1
147,160,111
147,161,1338
147,162,2
148,149,118
148,153,3
148,156,2
148,160,94
148,161,108
148,162,1
149,152,2
149,153,11
149,157,1
149,160,3
149,161,16
149,163,45
150,151,3
150,152,183
150,154,1
150,157,1
150,158,1
150,161,2
150,163,1
151,152,458
151,154,1
151,158,247
152,156,1
152,157,1
152,158,37
152,161,2
153,154,774
153,155,1
153,159,339
153,160,4
153,161,48
153,162,5
154,155,1
154,156,1
154,158,138
154,159,158
154,161,11
154,162,1
154,163,1
155,156,156
155,157,105
155,159,6
155,160,1
155,161,49
155,162,7
155,163,21
156,157,103
156,159,7
156,160,22
156,161,288
156,162,1
156,163,17
157,159,1
157,160,1
157,161,20
157,163,42
158,163,1
159,161,15
159,162,4
160,161,943
160,162,2
161,162,165
161,163,1
