,metric,weight,session_id,r,p
0,global_eff,FBC,V1,-0.1571292091896286,0.406973216680405
1,global_eff,FBC,V2,-0.3235510939338671,0.0930476434077639
2,global_eff,FBC,V3,-0.17210714515034603,0.3631252072896156
3,global_eff,FA,V1,-0.18979897052538108,0.3151049022171498
4,global_eff,FA,V2,0.03675064714969148,0.8527095071524182
5,global_eff,FA,V3,-0.18968277275653703,0.3154067806862601
6,global_eff,NDI,V1,-0.5040909787087555,0.004507388232564276
7,global_eff,NDI,V2,-0.5061246903944561,0.005996466676271726
8,global_eff,NDI,V3,-0.2607825127126141,0.16395480936445872
9,global_eff,Fintra,V1,-0.5040909787087555,0.004507388232564276
10,global_eff,Fintra,V2,-0.506124690394456,0.005996466676271726
11,global_eff,Fintra,V3,-0.260782512712614,0.16395480936445872
12,global_eff,GFA,V1,-0.01403399477591441,0.9413250089809472
13,global_eff,GFA,V2,0.04047557143148314,0.8379664544913458
14,global_eff,GFA,V3,-0.19548541526280533,0.30055122450254224
15,global_eff,ODI,V1,-0.4128241563645535,0.02337513536206781
16,global_eff,ODI,V2,-0.4018043925405934,0.034051395479835884
17,global_eff,ODI,V3,-0.14218090761758137,0.45356406761820733
18,global_eff,PD,V1,0.45956596470978817,0.010621211288860481
19,global_eff,PD,V2,0.2558937709959755,0.18873249700283912
20,global_eff,PD,V3,0.1353161197703303,0.47587454854825983
21,global_eff,TD,V1,0.3599561813985409,0.0507198267960811
22,global_eff,TD,V2,0.1377861133704858,0.4844266647989899
23,global_eff,TD,V3,0.1326284599922911,0.48476163930685706
24,local_eff,FBC,V1,-0.1202352027698678,0.5268154375787207
25,local_eff,FBC,V2,-0.3682759277568389,0.05382074059925273
26,local_eff,FBC,V3,-0.14787372260657314,0.4354945346713939
27,local_eff,FA,V1,-0.015111567414530389,0.9368283580656238
28,local_eff,FA,V2,-0.004082747251151819,0.9835496404839199
29,local_eff,FA,V3,-0.1998014462372095,0.2897924961209152
30,local_eff,NDI,V1,-0.45983756650925356,0.010569302007728423
31,local_eff,NDI,V2,-0.4417967013188137,0.018585030613496582
32,local_eff,NDI,V3,-0.09873416467161285,0.6037038397403377
33,local_eff,Fintra,V1,-0.45983756650925367,0.010569302007728423
34,local_eff,Fintra,V2,-0.4417967013188136,0.018585030613496648
