,metric,weight,session_id,r,p
0,global_eff,FBC,V1,-0.0847915348583422,0.6618792026526935
1,global_eff,FBC,V2,-0.2775099189823298,0.1610780738847013
2,global_eff,FBC,V3,-0.08213406491703439,0.6718819326301273
3,global_eff,FA,V1,-0.2816997593434739,0.13875541489135154
4,global_eff,FA,V2,-0.15205255990774716,0.4489773406807564
5,global_eff,FA,V3,-0.427691180836448,0.02064959418825027
6,global_eff,NDI,V1,-0.44891739116682616,0.014575261697575084
7,global_eff,NDI,V2,-0.4824070877060058,0.010822119102522579
8,global_eff,NDI,V3,-0.2565291923323276,0.17917735411760494
9,global_eff,Fintra,V1,-0.4489173911668261,0.01457526169757513
10,global_eff,Fintra,V2,-0.48240708770600577,0.010822119102522579
11,global_eff,Fintra,V3,-0.2565291923323275,0.17917735411760483
12,global_eff,GFA,V1,-0.20064913164635104,0.2966425568428112
13,global_eff,GFA,V2,-0.10942763822253501,0.58690033950443
14,global_eff,GFA,V3,-0.33515759123840505,0.0755193997250866
15,global_eff,ODI,V1,-0.33451576128993943,0.07611571689561039
16,global_eff,ODI,V2,-0.3518777309435876,0.07186745433865167
17,global_eff,ODI,V3,0.02479138370219964,0.8984239924891054
18,global_eff,PD,V1,0.3960692750208624,0.03342558163022864
19,global_eff,PD,V2,0.1929554621339508,0.3349025918308283
20,global_eff,PD,V3,0.13793843457884414,0.4754939098222498
21,global_eff,TD,V1,0.32731626062226066,0.08305545722901383
22,global_eff,TD,V2,0.14166876774792247,0.48089285180899133
23,global_eff,TD,V3,0.13889423891993416,0.47241105857065285
24,local_eff,FBC,V1,-0.06000832433800343,0.7571551176465837
25,local_eff,FBC,V2,-0.31652267919010313,0.10771600797492045
26,local_eff,FBC,V3,-0.06951897659816854,0.7200906948698134
27,local_eff,FA,V1,-0.14341662277194897,0.45796643588788294
28,local_eff,FA,V2,-0.2132002209859426,0.285639189106257
29,local_eff,FA,V3,-0.5432262494357994,0.0023248458979538886
30,local_eff,NDI,V1,-0.41736596694259287,0.024281454114957884
31,local_eff,NDI,V2,-0.39328403962784236,0.04240940525551793
32,local_eff,NDI,V3,-0.09106348636938354,0.6384985822880493
33,local_eff,Fintra,V1,-0.41736596694259276,0.024281454114957884
34,local_eff,Fintra,V2,-0.3932840396278424,0.04240940525551793
35,local_eff,Fintra,V3,-0.09106348636938352,0.6384985822880493
36,local_eff,GFA,V1,-0.10273063976438768,0.5959086434104311
37,local_eff,GFA,V2,-0.08674029087266227,0.667049486783673
38,local_eff,GFA,V3,-0.3742990338638558,0.04545869569910774
39,local_eff,ODI,V1,-0.37041800567146127,0.047926496213674626
40,local_eff,ODI,V2,-0.4160261845581469,0.03089900155961191
41,local_eff,ODI,V3,0.0698708035220424,0.7187308253716886
42,local_eff,PD,V1,0.4033084636475968,0.030048936097085317
43,local_eff,PD,V2,0.22661297451900564,0.2556797882840049
44,local_eff,PD,V3,0.13850236231458957,0.47367375985513177
45,local_eff,TD,V1,0.36541597325844555,0.05126233782688609
46,local_eff,TD,V2,0.11094334576114666,0.581698274015329
47,local_eff,TD,V3,0.13731009151539805,0.4775262225131072
48,characteristic_path,FBC,V1,0.1382651330932233,0.4744390073198683
49,characteristic_path,FBC,V2,0.27682207832306366,0.16216161245037952
50,characteristic_path,FBC,V3,0.06748162493313063,0.7279817127894986
51,characteristic_path,FA,V1,0.25404584577525996,0.1835706331522289
52,characteristic_path,FA,V2,0.1500292567293136,0.45510606181248403
53,characteristic_path,FA,V3,0.38438337862357,0.03951630682091978
54,characteristic_path,NDI,V1,0.4126520634678712,0.026104858615544173
55,characteristic_path,NDI,V2,0.44520679718091133,0.019960019578651803
56,characteristic_path,NDI,V3,0.3265313807366152,0.08384030061774808
57,characteristic_path,Fintra,V1,0.41265206346787114,0.026104858615544173
58,characteristic_path,Fintra,V2,0.44520679718091116,0.019960019578651803
59,characteristic_path,Fintra,V3,0.3265313807366152,0.08384030061774808
60,characteristic_path,GFA,V1,0.1825662251709487,0.3431791185295406
61,characteristic_path,GFA,V2,0.10695938114962464,0.5954146286795848
62,characteristic_path,GFA,V3,0.29449817106748105,0.12095394854423144
63,characteristic_path,ODI,V1,0.30708808773196916,0.10514510870449398
64,characteristic_path,ODI,V2,0.3077023901954006,0.11843648327465814
65,characteristic_path,ODI,V3,0.0363271328105556,0.8515948271383247
66,characteristic_path,PD,V1,-0.4099687947093456,0.02719163799875459
67,characteristic_path,PD,V2,-0.23859243870250543,0.23072135967777294
68,characteristic_path,PD,V3,-0.15805731275303192,0.41284888050764434
69,characteristic_path,TD,V1,-0.34387849755359484,0.06776836036995376
70,characteristic_path,TD,V2,-0.24064495254852702,0.22661431250242312
71,characteristic_path,TD,V3,-0.24348631038710786,0.20309054131826781
72,clust_coeff,FBC,V1,0.16600907132512374,0.38942706717800435
73,clust_coeff,FBC,V2,0.18801292548895165,0.34766489573098697
74,clust_coeff,FBC,V3,0.10376051603477769,0.5922085913739344
75,clust_coeff,FA,V1,0.19430584859166444,0.31249045635010625
76,clust_coeff,FA,V2,-0.07577219512247968,0.7071888962675875
77,clust_coeff,FA,V3,0.06725400963645395,0.7288650149906114
78,clust_coeff,NDI,V1,0.26911835977632,0.15803862364368956
79,clust_coeff,NDI,V2,0.16226516432434132,0.41872359724858876
80,clust_coeff,NDI,V3,0.326113525455015,0.0842604392333192
81,clust_coeff,Fintra,V1,0.26911835977632004,0.15803862364368956
82,clust_coeff,Fintra,V2,0.1622651643243414,0.41872359724858876
83,clust_coeff,Fintra,V3,0.32611352545501504,0.0842604392333192
