,metric,weight,session_id,r,p
0,global_eff,FBC,V1,-0.15070552787722258,0.4266545866604393
1,global_eff,FBC,V2,-0.16850366285728755,0.39136808935890577
2,global_eff,FBC,V3,-0.11056682230491446,0.5607993213120877
3,global_eff,FA,V1,-0.19353422071658197,0.3054965218942186
4,global_eff,FA,V2,-0.19293791668773103,0.3252787072162595
5,global_eff,FA,V3,-0.2129338387155359,0.2585835256210164
6,global_eff,NDI,V1,-0.21391430266341308,0.2563454934714757
7,global_eff,NDI,V2,-0.374271110428716,0.04974571865310751
8,global_eff,NDI,V3,-0.21164133382416217,0.2615533317253992
9,global_eff,Fintra,V1,-0.21391430266341305,0.2563454934714763
10,global_eff,Fintra,V2,-0.3742711104287161,0.04974571865310737
11,global_eff,Fintra,V3,-0.21164133382416211,0.26155333172539963
12,global_eff,GFA,V1,-0.13178867743967593,0.48755580565798784
13,global_eff,GFA,V2,-0.1407461174705772,0.4749975495293646
14,global_eff,GFA,V3,-0.19683957313988346,0.2971489343840128
15,global_eff,ODI,V1,-0.15373846429689902,0.4172974785373671
16,global_eff,ODI,V2,-0.06362059809357672,0.7477360262037092
17,global_eff,ODI,V3,-0.02189643424648845,0.9085646811553052
18,global_eff,PD,V1,0.32664744668813994,0.07810496839418878
19,global_eff,PD,V2,0.2159019944496392,0.2698374599249338
20,global_eff,PD,V3,0.11646663633737435,0.5399426990252407
21,global_eff,TD,V1,0.2613360669792047,0.16302949589773286
22,global_eff,TD,V2,0.22629385923430834,0.24688908012171834
23,global_eff,TD,V3,0.1147304060736104,0.5460422054438149
24,local_eff,FBC,V1,-0.13476986796837567,0.47767393275710546
25,local_eff,FBC,V2,-0.18447641416148874,0.3473447036080459
26,local_eff,FBC,V3,-0.10238565169955811,0.5903155735080278
27,local_eff,FA,V1,-0.08778926758651696,0.6445817118551207
28,local_eff,FA,V2,-0.24269527408094557,0.21336033536416538
29,local_eff,FA,V3,-0.24630705089211907,0.1894941674930512
30,local_eff,NDI,V1,-0.14709100266354608,0.43795541573319013
31,local_eff,NDI,V2,-0.32368435441932863,0.09290527593632766
32,local_eff,NDI,V3,-0.07290502627753438,0.7018236993453604
33,local_eff,Fintra,V1,-0.14709100266354608,0.43795541573319013
34,local_eff,Fintra,V2,-0.3236843544193288,0.09290527593632744
35,local_eff,Fintra,V3,-0.0729050262775344,0.7018236993453604
36,local_eff,GFA,V1,-0.06682740135397287,0.7256872115834061
37,local_eff,GFA,V2,-0.13147072904192886,0.5048589334601183
38,local_eff,GFA,V3,-0.2213404470157923,0.2398077761453345
39,local_eff,ODI,V1,-0.13061983368980162,0.4914584740298126
40,local_eff,ODI,V2,-0.01570325660558737,0.9367859893996393
41,local_eff,ODI,V3,0.030497708114926782,0.8728953632522455
42,local_eff,PD,V1,0.3052694450209212,0.10092028326106323
43,local_eff,PD,V2,0.23683579775142832,0.2249630984308857
44,local_eff,PD,V3,0.11404765293328395,0.5484495786968511
45,local_eff,TD,V1,0.2856679182558165,0.12594922321109325
46,local_eff,TD,V2,0.24073077809180188,0.2172041429831328
47,local_eff,TD,V3,0.11332663942548414,0.5509972231390922
48,characteristic_path,FBC,V1,0.19318549684303415,0.3063857030884601
49,characteristic_path,FBC,V2,0.17100769221699258,0.38426408512063137
50,characteristic_path,FBC,V3,0.12409375375326893,0.513536367284785
51,characteristic_path,FA,V1,0.15986564213112633,0.3987473344452762
52,characteristic_path,FA,V2,0.17266777091263108,0.37959560909407786
53,characteristic_path,FA,V3,0.19006795827396047,0.31440676856070393
54,characteristic_path,NDI,V1,0.2637727761153076,0.15900056911370736
55,characteristic_path,NDI,V2,0.3348032338534348,0.08159571370559843
56,characteristic_path,NDI,V3,0.25429557701572164,0.17507809481933723
57,characteristic_path,Fintra,V1,0.2637727761153076,0.15900056911370736
58,characteristic_path,Fintra,V2,0.33480323385343475,0.08159571370559843
59,characteristic_path,Fintra,V3,0.2542955770157216,0.17507809481933723
60,characteristic_path,GFA,V1,0.11459893853672469,0.5465053720061117
61,characteristic_path,GFA,V2,0.12769500623374824,0.5172752951868862
62,characteristic_path,GFA,V3,0.17788349789937236,0.34699294794146085
63,characteristic_path,ODI,V1,0.2328245469049266,0.21566156927301539
64,characteristic_path,ODI,V2,0.126336758820221,0.5217779304437091
65,characteristic_path,ODI,V3,0.10110150088863856,0.5950092037905532
66,characteristic_path,PD,V1,-0.3159215557982779,0.0889961598929156
67,characteristic_path,PD,V2,-0.2035458489617769,0.2988587666520655
68,characteristic_path,PD,V3,-0.18430546672510695,0.3295730173028226
69,characteristic_path,TD,V1,-0.24586808781791678,0.19030957253572567
70,characteristic_path,TD,V2,-0.29990245311339003,0.12101663014275746
71,characteristic_path,TD,V3,-0.20580320189413528,0.27524444649512747
72,clust_coeff,FBC,V1,0.2617902517475753,0.1622730715268761
73,clust_coeff,FBC,V2,0.05274777186478254,0.7897964439860286
74,clust_coeff,FBC,V3,0.3069901649848742,0.09891676090908405
75,clust_coeff,FA,V1,0.03827071652987965,0.8408677266304805
76,clust_coeff,FA,V2,-0.174773873651509,0.37372030708723336
77,clust_coeff,FA,V3,-0.011976384160088713,0.9499161033780282
78,clust_coeff,NDI,V1,0.17993057667023454,0.3413810343353366
79,clust_coeff,NDI,V2,0.04046176798282907,0.8380209922724355
80,clust_coeff,NDI,V3,0.21121251029229113,0.2625435480068331
81,clust_coeff,Fintra,V1,0.1799305766702346,0.3413810343353366
82,clust_coeff,Fintra,V2,0.040461767982829064,0.8380209922724355
83,clust_coeff,Fintra,V3,0.21121251029229107,0.2625435480068331
